episode,r0_mean,r1_mean,r2_mean,r3_mean
0,1.0,0.757288770952513,1.0,1.0
1,1.0,0.680566702634261,1.0,1.0
2,1.0,0.7000446856290912,1.0,1.0
3,1.0,0.733567353436517,1.0,1.0
4,1.0,0.7788608423423756,1.0,1.0
5,1.0,0.7003284748843557,1.0,1.0
6,1.0,0.708866201332347,1.0,1.0
7,1.0,0.7294304663701157,1.0,1.0
8,1.0,0.7431910967310749,1.0,1.0
9,1.0,0.7125313253899255,1.0,1.0
10,1.0,0.6822468296420174,1.0,1.0
11,1.0,0.6822644451807024,1.0,1.0
12,1.0,0.6994299294470089,1.0,1.0
13,1.0,0.7228039945847607,1.0,1.0
14,1.0,0.7052093042815022,1.0,1.0
15,1.0,0.7675973709310425,1.0,1.0
16,1.0,0.6890852470618146,1.0,1.0
17,1.0,0.7209987806542022,1.0,1.0
18,1.0,0.6902944498384374,1.0,1.0
19,1.0,0.6909066667606634,1.0,1.0
20,1.0,0.7231756550825634,1.0,1.0
21,1.0,0.6877982269845621,1.0,1.0
22,1.0,0.7010817843807022,1.0,1.0
23,1.0,0.7372754116973343,1.0,1.0
24,1.0,0.676022935820136,1.0,1.0
25,1.0,0.729790340800125,1.0,1.0
26,1.0,0.6956495537088323,1.0,1.0
27,1.0,0.763267554654084,1.0,1.0
28,1.0,0.743506070750431,1.0,1.0
29,1.0,0.7180642683616006,1.0,1.0
30,1.0,0.704040352926009,1.0,1.0
31,1.0,0.7477461995057073,1.0,1.0
32,1.0,0.6578645407491868,1.0,1.0
33,1.0,0.7286705453685022,1.0,1.0
34,1.0,0.7105056878802497,1.0,1.0
35,1.0,0.6771991168689162,1.0,1.0
36,1.0,0.6776332893295847,1.0,1.0
37,1.0,0.6652061570650919,1.0,1.0
38,1.0,0.7043335936261312,1.0,1.0
39,1.0,0.7238717205974553,1.0,1.0
40,1.0,0.7147460505936527,1.0,1.0
41,1.0,0.7366435367211928,1.0,1.0
42,1.0,0.6917411752527363,1.0,1.0
43,1.0,0.7346858005582897,1.0,1.0
44,1.0,0.7058268506927499,1.0,1.0
45,1.0,0.7235786819406336,1.0,1.0
46,1.0,0.6899781169149224,1.0,1.0
47,1.0,0.73649505723033,1.0,1.0
48,1.0,0.692079285114314,1.0,1.0
49,1.0,0.705543111439512,1.0,1.0
50,1.0,0.6712740132771859,1.0,1.0
51,1.0,0.6775846927870092,1.0,1.0
52,1.0,0.6914668766478451,1.0,1.0
53,1.0,0.7092068762038419,1.0,1.0
54,1.0,0.6888949202035468,1.0,1.0
55,1.0,0.7166155977444486,1.0,1.0
56,1.0,0.7173185445585608,1.0,1.0
57,1.0,0.7097654580099363,1.0,1.0
58,1.0,0.7101573028885712,1.0,1.0
59,1.0,0.697867263675787,1.0,1.0
